"";"weights";"n_sim";"mu";"N";"lift";"sd";"power_ttest";"power_mwtest"
"1";"5050";1000;1;50;1;1;0,052;0,052
"2";"7525";1000;1;50;1;1;0,055;0,056
"3";"9010";1000;1;50;1;1;0,069;0,04
"4";"9901";1000;1;50;1;1;0,056;0,052
"5";"5050";1000;1;50;2;1;0,05;0,05
"6";"7525";1000;1;50;2;1;0,064;0,05
"7";"9010";1000;1;50;2;1;0,054;0,041
"8";"9901";1000;1;50;2;1;0,064;0,05
"9";"5050";1000;1;50;3;1;0,047;0,04
"10";"7525";1000;1;50;3;1;0,043;0,061
"11";"9010";1000;1;50;3;1;0,063;0,057
"12";"9901";1000;1;50;3;1;0,066;0,042
"13";"5050";1000;1;50;4;1;0,052;0,05
"14";"7525";1000;1;50;4;1;0,041;0,043
"15";"9010";1000;1;50;4;1;0,057;0,056
"16";"9901";1000;1;50;4;1;0,062;0,047
"17";"5050";1000;1;50;5;1;0,055;0,052
"18";"7525";1000;1;50;5;1;0,056;0,052
"19";"9010";1000;1;50;5;1;0,055;0,059
"20";"9901";1000;1;50;5;1;0,053;0,047
"21";"5050";1000;1;50;6,00000000000001;1;0,044;0,047
"22";"7525";1000;1;50;6,00000000000001;1;0,05;0,05
"23";"9010";1000;1;50;6,00000000000001;1;0,065;0,058
"24";"9901";1000;1;50;6,00000000000001;1;0,051;0,034
"25";"5050";1000;1;50;7,00000000000001;1;0,05;0,056
"26";"7525";1000;1;50;7,00000000000001;1;0,059;0,054
"27";"9010";1000;1;50;7,00000000000001;1;0,055;0,05
"28";"9901";1000;1;50;7,00000000000001;1;0,058;0,046
"29";"5050";1000;1;50;8,00000000000001;1;0,054;0,061
"30";"7525";1000;1;50;8,00000000000001;1;0,06;0,055
"31";"9010";1000;1;50;8,00000000000001;1;0,063;0,052
"32";"9901";1000;1;50;8,00000000000001;1;0,053;0,06
"33";"5050";1000;1;50;9,00000000000001;1;0,058;0,067
"34";"7525";1000;1;50;9,00000000000001;1;0,063;0,044
"35";"9010";1000;1;50;9,00000000000001;1;0,052;0,042
"36";"9901";1000;1;50;9,00000000000001;1;0,051;0,048
"37";"5050";1000;1;50;10;1;0,061;0,071
"38";"7525";1000;1;50;10;1;0,058;0,049
"39";"9010";1000;1;50;10;1;0,066;0,064
"40";"9901";1000;1;50;10;1;0,057;0,048
"41";"5050";1000;1;50;20;1;0,111;0,115
"42";"7525";1000;1;50;20;1;0,083;0,1
"43";"9010";1000;1;50;20;1;0,068;0,071
"44";"9901";1000;1;50;20;1;0,071;0,067
"45";"5050";1000;1;50;50;1;0,412;0,388
"46";"7525";1000;1;50;50;1;0,283;0,287
"47";"9010";1000;1;50;50;1;0,14;0,149
"48";"9901";1000;1;50;50;1;0,151;0,174
"49";"5050";1000;1;50;100;1;0,941;0,922
"50";"7525";1000;1;50;100;1;0,813;0,831
"51";"9010";1000;1;50;100;1;0,415;0,488
"52";"9901";1000;1;50;100;1;0,43;0,505
"53";"5050";1000;1;50;1;2;0,051;0,055
"54";"7525";1000;1;50;1;2;0,053;0,045
"55";"9010";1000;1;50;1;2;0,056;0,041
"56";"9901";1000;1;50;1;2;0,043;0,002
"57";"5050";1000;1;50;2;2;0,043;0,049
"58";"7525";1000;1;50;2;2;0,047;0,052
"59";"9010";1000;1;50;2;2;0,055;0,035
"60";"9901";1000;1;50;2;2;0,061;0,003
"61";"5050";1000;1;50;3;2;0,047;0,042
"62";"7525";1000;1;50;3;2;0,057;0,06
"63";"9010";1000;1;50;3;2;0,057;0,047
"64";"9901";1000;1;50;3;2;0,072;0,003
"65";"5050";1000;1;50;4;2;0,051;0,038
"66";"7525";1000;1;50;4;2;0,061;0,05
"67";"9010";1000;1;50;4;2;0,049;0,044
"68";"9901";1000;1;50;4;2;0,054;0,003
"69";"5050";1000;1;50;5;2;0,049;0,033
"70";"7525";1000;1;50;5;2;0,05;0,055
"71";"9010";1000;1;50;5;2;0,043;0,048
"72";"9901";1000;1;50;5;2;0,044;0,007
"73";"5050";1000;1;50;6,00000000000001;2;0,045;0,044
"74";"7525";1000;1;50;6,00000000000001;2;0,048;0,051
"75";"9010";1000;1;50;6,00000000000001;2;0,053;0,049
"76";"9901";1000;1;50;6,00000000000001;2;0,051;0,009
"77";"5050";1000;1;50;7,00000000000001;2;0,061;0,045
"78";"7525";1000;1;50;7,00000000000001;2;0,058;0,051
"79";"9010";1000;1;50;7,00000000000001;2;0,045;0,041
"80";"9901";1000;1;50;7,00000000000001;2;0,053;0,007
"81";"5050";1000;1;50;8,00000000000001;2;0,059;0,051
"82";"7525";1000;1;50;8,00000000000001;2;0,066;0,046
"83";"9010";1000;1;50;8,00000000000001;2;0,051;0,054
"84";"9901";1000;1;50;8,00000000000001;2;0,056;0,007
"85";"5050";1000;1;50;9,00000000000001;2;0,062;0,049
"86";"7525";1000;1;50;9,00000000000001;2;0,065;0,044
"87";"9010";1000;1;50;9,00000000000001;2;0,056;0,06
"88";"9901";1000;1;50;9,00000000000001;2;0,067;0,008
"89";"5050";1000;1;50;10;2;0,051;0,053
"90";"7525";1000;1;50;10;2;0,063;0,049
"91";"9010";1000;1;50;10;2;0,064;0,046
"92";"9901";1000;1;50;10;2;0,054;0,008
"93";"5050";1000;1;50;20;2;0,054;0,071
"94";"7525";1000;1;50;20;2;0,08;0,055
"95";"9010";1000;1;50;20;2;0,061;0,042
"96";"9901";1000;1;50;20;2;0,074;0,008
"97";"5050";1000;1;50;50;2;0,131;0,146
"98";"7525";1000;1;50;50;2;0,122;0,111
"99";"9010";1000;1;50;50;2;0,066;0,071
"100";"9901";1000;1;50;50;2;0,156;0,022
"101";"5050";1000;1;50;100;2;0,408;0,397
"102";"7525";1000;1;50;100;2;0,299;0,307
"103";"9010";1000;1;50;100;2;0,145;0,167
"104";"9901";1000;1;50;100;2;0,395;0,164
"105";"5050";1000;1;50;1;5;0,043;0,067
"106";"7525";1000;1;50;1;5;0,04;0,05
"107";"9010";1000;1;50;1;5;0,071;0,047
"108";"9901";1000;1;50;1;5;0,043;0
"109";"5050";1000;1;50;2;5;0,039;0,062
"110";"7525";1000;1;50;2;5;0,042;0,047
"111";"9010";1000;1;50;2;5;0,056;0,037
"112";"9901";1000;1;50;2;5;0,046;0
"113";"5050";1000;1;50;3;5;0,046;0,042
"114";"7525";1000;1;50;3;5;0,044;0,05
"115";"9010";1000;1;50;3;5;0,05;0,053
"116";"9901";1000;1;50;3;5;0,043;0,001
"117";"5050";1000;1;50;4;5;0,054;0,035
"118";"7525";1000;1;50;4;5;0,046;0,042
"119";"9010";1000;1;50;4;5;0,059;0,044
"120";"9901";1000;1;50;4;5;0,058;0
"121";"5050";1000;1;50;5;5;0,044;0,049
"122";"7525";1000;1;50;5;5;0,059;0,049
"123";"9010";1000;1;50;5;5;0,06;0,043
"124";"9901";1000;1;50;5;5;0,05;0
"125";"5050";1000;1;50;6,00000000000001;5;0,054;0,043
"126";"7525";1000;1;50;6,00000000000001;5;0,05;0,049
"127";"9010";1000;1;50;6,00000000000001;5;0,046;0,038
"128";"9901";1000;1;50;6,00000000000001;5;0,06;0
